# Prioritization file for occultation-standard
# Version: 1.0.1
# Updated by: Joe P. Renaud
# Updated on: 2026-05-08 17:00:15
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
177,TIC_303704858,0.880201,600.0,0.0,600.0
178,TIC_58445695,0.880089,600.0,0.0,600.0
179,TIC_231005052,0.879978,600.0,0.0,600.0
180,TIC_62569281,0.879866,600.0,0.0,600.0
181,TIC_302188141,0.879754,600.0,0.0,600.0
182,TIC_309599261,0.879642,600.0,0.0,600.0
183,TIC_155315739,0.87953,600.0,0.0,600.0
184,TIC_301880196,0.879418,600.0,0.0,600.0
185,TIC_9150015,0.879306,600.0,0.0,600.0
186,TIC_393844873,0.879195,600.0,0.0,600.0
187,TIC_408842743,0.879083,600.0,0.0,600.0
188,TIC_172954294,0.878971,600.0,0.0,600.0
189,TIC_213041474,0.878859,600.0,0.0,600.0
190,TIC_206686962,0.878747,600.0,0.0,600.0
191,TIC_352402781,0.878635,600.0,0.0,600.0
192,TIC_150796339,0.878523,600.0,0.0,600.0
193,TIC_80226651,0.878412,600.0,0.0,600.0
194,TIC_434210589,0.8783,600.0,0.0,600.0
195,TIC_307754027,0.878188,600.0,0.0,600.0
196,TIC_373694425,0.878076,600.0,0.0,600.0
197,TIC_219880402,0.877964,600.0,0.0,600.0
198,TIC_9728611,0.877852,600.0,0.0,600.0
199,TIC_362661163,0.87774,600.0,0.0,600.0
200,TIC_229092427,0.877629,600.0,0.0,600.0
201,TIC_238432056,0.877517,600.0,0.0,600.0
202,TIC_355127594,0.877405,600.0,0.0,600.0
203,TIC_311063391,0.877293,600.0,0.0,600.0
204,TIC_403585118,0.877181,600.0,0.0,600.0
205,TIC_416519065,0.877069,600.0,0.0,600.0
206,TIC_47346402,0.876957,600.0,0.0,600.0
207,TIC_326096771,0.876846,600.0,0.0,600.0
208,TIC_75946144,0.876734,600.0,0.0,600.0
209,TIC_307624961,0.876622,600.0,0.0,600.0
210,TIC_279649057,0.87651,600.0,0.0,600.0
211,TIC_117979951,0.876398,600.0,0.0,600.0
212,TIC_289673491,0.876286,600.0,0.0,600.0
213,TIC_353257675,0.876174,600.0,0.0,600.0
214,TIC_262843771,0.876063,600.0,0.0,600.0
215,TIC_105999792,0.875951,600.0,0.0,600.0
216,TIC_229137615,0.875839,600.0,0.0,600.0
217,TIC_46125330,0.875727,600.0,0.0,600.0
218,TIC_8915802,0.875615,600.0,0.0,600.0
219,TIC_367631379,0.875503,600.0,0.0,600.0
220,TIC_72748794,0.875391,600.0,0.0,600.0
221,TIC_373765355,0.87528,600.0,0.0,600.0
222,TIC_257393898,0.875168,600.0,0.0,600.0
223,TIC_69889261,0.875056,600.0,0.0,600.0
224,TIC_437886584,0.874944,600.0,0.0,600.0
225,TIC_79841001,0.874832,600.0,0.0,600.0
226,TIC_24467943,0.87472,600.0,0.0,600.0
227,TIC_261136679,0.874609,600.0,0.0,600.0
228,TIC_29495621,0.874497,600.0,0.0,600.0
229,TIC_459427073,0.874385,600.0,0.0,600.0
230,TIC_234968549,0.874273,600.0,0.0,600.0
231,TIC_372914091,0.874161,600.0,0.0,600.0
232,TIC_156890613,0.874049,600.0,0.0,600.0
233,TIC_130645536,0.873937,600.0,0.0,600.0
234,TIC_233121747,0.873826,600.0,0.0,600.0
235,TIC_282210766,0.873714,600.0,0.0,600.0
236,TIC_259291108,0.873602,600.0,0.0,600.0
237,TIC_95431211,0.87349,600.0,0.0,600.0
238,TIC_141523112,0.873378,600.0,0.0,600.0
239,TIC_80431620,0.873266,600.0,0.0,600.0
240,TIC_176521059,0.873154,600.0,0.0,600.0
241,TIC_229902025,0.873043,600.0,0.0,600.0
242,TIC_389853353,0.872931,600.0,0.0,600.0
243,TIC_329574145,0.872819,600.0,0.0,600.0
244,TIC_328324648,0.872707,600.0,0.0,600.0
245,TIC_350673608,0.872595,600.0,0.0,600.0
246,TIC_58092025,0.872483,600.0,0.0,600.0
247,TIC_83391616,0.872371,600.0,0.0,600.0
248,TIC_135656809,0.87226,600.0,0.0,600.0
249,TIC_202380743,0.872148,600.0,0.0,600.0
250,TIC_279649049,0.872036,600.0,0.0,600.0
251,TIC_417762326,0.871924,600.0,0.0,600.0
252,TIC_11310083,0.871812,600.0,0.0,600.0
253,TIC_166853853,0.8717,600.0,0.0,600.0
254,TIC_136916387,0.871588,600.0,0.0,600.0
255,TIC_57611256,0.871477,600.0,0.0,600.0
256,TIC_142103211,0.871365,600.0,0.0,600.0
257,TIC_159746875,0.871253,600.0,0.0,600.0
258,TIC_30016911,0.871141,600.0,0.0,600.0
259,TIC_3962869,0.871029,600.0,0.0,600.0
260,G3423847121195964672,0.870917,600.0,0.0,600.0
261,G232985418714380416,0.870805,600.0,0.0,600.0
262,G241796423863697408,0.870694,600.0,0.0,600.0
263,G200301228691042688,0.870582,600.0,0.0,600.0
264,G1942224279006354432,0.87047,600.0,0.0,600.0
265,G231448438897036800,0.870358,600.0,0.0,600.0
266,G425244166527350784,0.870246,600.0,0.0,600.0
267,G3106803149490152832,0.870134,600.0,0.0,600.0
268,G203314169726152960,0.870022,600.0,0.0,600.0
269,G3425983158753964288,0.869911,600.0,0.0,600.0
270,G3366262329996480000,0.869799,600.0,0.0,600.0
271,G3351433903867696640,0.869687,600.0,0.0,600.0
272,G189705617387154560,0.869575,600.0,0.0,600.0
273,G2075076791539163264,0.869463,600.0,0.0,600.0
274,G3158544925443802752,0.869351,600.0,0.0,600.0
275,G3113673550974152704,0.869239,600.0,0.0,600.0
276,G198915710897412480,0.869128,600.0,0.0,600.0
277,G3345893121178335232,0.869016,600.0,0.0,600.0
278,G3369399236671791616,0.868904,600.0,0.0,600.0
279,G241472445889902080,0.868792,600.0,0.0,600.0
280,G199819883114238592,0.86868,600.0,0.0,600.0
281,G3398075805593109888,0.868568,600.0,0.0,600.0
282,G3123532803018913920,0.868456,600.0,0.0,600.0
283,G3395789302442225792,0.868345,600.0,0.0,600.0
284,G3152564548557912448,0.868233,600.0,0.0,600.0
285,G3432273606513132544,0.868121,600.0,0.0,600.0
286,G3356271067835669888,0.868009,600.0,0.0,600.0
287,G3354514116975065344,0.867897,600.0,0.0,600.0
288,G3135446561263584256,0.867785,600.0,0.0,600.0
289,G3356803506342706048,0.867673,600.0,0.0,600.0
290,G183081609586291712,0.867562,600.0,0.0,600.0
291,G3369221528103925376,0.86745,600.0,0.0,600.0
292,G3317332069696186240,0.867338,600.0,0.0,600.0
293,G3024207178875434496,0.867226,600.0,0.0,600.0
294,G442651497173870080,0.867114,600.0,0.0,600.0
295,G457099561004687872,0.867002,600.0,0.0,600.0
296,G4539381725771320448,0.86689,600.0,0.0,600.0
297,G186745796506873216,0.866779,600.0,0.0,600.0
298,G2701846248105636480,0.866667,600.0,0.0,600.0
299,G183628612321432448,0.866555,600.0,0.0,600.0
300,G191820631081888768,0.866443,600.0,0.0,600.0
301,G204880973794411392,0.866331,600.0,0.0,600.0
302,G202985823767056640,0.866219,600.0,0.0,600.0
303,G3347370796083158272,0.866107,600.0,0.0,600.0
304,G3018536344575439232,0.865996,600.0,0.0,600.0
305,G2030937687533983488,0.865884,600.0,0.0,600.0
306,G3323945146804919296,0.865772,600.0,0.0,600.0
307,G2069281781130992512,0.86566,600.0,0.0,600.0
308,G413550413688067200,0.865548,600.0,0.0,600.0
309,G3131335143684872704,0.865436,600.0,0.0,600.0
310,G185682744859022976,0.865324,600.0,0.0,600.0
311,G186913304529270016,0.865213,600.0,0.0,600.0
312,G3335547747551537664,0.865101,600.0,0.0,600.0
313,G3113844799912365184,0.864989,600.0,0.0,600.0
314,G3378189248018294656,0.864877,600.0,0.0,600.0
315,G225433079502641792,0.864765,600.0,0.0,600.0
316,G3356523130876821888,0.864653,600.0,0.0,600.0
317,G3348611006543721728,0.864541,600.0,0.0,600.0
318,G458645989750495616,0.86443,600.0,0.0,600.0
319,G3356795741041911936,0.864318,600.0,0.0,600.0
320,G3132292921397412864,0.864206,600.0,0.0,600.0
321,G187061635520334720,0.864094,600.0,0.0,600.0
322,G3423409653008580352,0.863982,600.0,0.0,600.0
323,G3154183201471970560,0.86387,600.0,0.0,600.0
324,G3055688846778640128,0.863758,600.0,0.0,600.0
325,G245267685151430016,0.863647,600.0,0.0,600.0
326,G3125709934822430720,0.863535,600.0,0.0,600.0
327,G3371236383162331264,0.863423,600.0,0.0,600.0
328,G164896065218435968,0.863311,600.0,0.0,600.0
329,G210380456077220480,0.863199,600.0,0.0,600.0
330,G3360193468190413696,0.863087,600.0,0.0,600.0
331,G3317227066334837248,0.862975,600.0,0.0,600.0
332,G504512186016881152,0.862864,600.0,0.0,600.0
333,G3397338479965909248,0.862752,600.0,0.0,600.0
334,G3398432764618846336,0.86264,600.0,0.0,600.0
335,G3382436970675139456,0.862528,600.0,0.0,600.0
336,G3444069098537504512,0.862416,600.0,0.0,600.0
337,G3283347848906203520,0.862304,600.0,0.0,600.0
338,G203107495897777664,0.862192,600.0,0.0,600.0
339,G1442372789637715328,0.862081,600.0,0.0,600.0
340,G3423604949462822272,0.861969,600.0,0.0,600.0
341,G3283364444659834752,0.861857,600.0,0.0,600.0
342,G941748270585401984,0.861745,600.0,0.0,600.0
343,G3132144143731035264,0.861633,600.0,0.0,600.0
344,G1997159414687771264,0.861521,600.0,0.0,600.0
345,G506123657748170368,0.861409,600.0,0.0,600.0
346,G453773675766629120,0.861298,600.0,0.0,600.0
347,G3132980592900051200,0.861186,600.0,0.0,600.0
348,G1029906258202069888,0.861074,600.0,0.0,600.0
349,G3425184986329903488,0.860962,600.0,0.0,600.0
350,G3201115030667802880,0.86085,600.0,0.0,600.0
351,G3350927784920847872,0.860738,600.0,0.0,600.0
352,G3124629943825342464,0.860626,600.0,0.0,600.0
353,G414308664397291264,0.860515,600.0,0.0,600.0
354,G194248760775305472,0.860403,600.0,0.0,600.0
355,G391460327428745088,0.860291,600.0,0.0,600.0
356,G285700129316576768,0.860179,600.0,0.0,600.0
357,G244497649054874880,0.860067,600.0,0.0,600.0
358,G276603556084862336,0.859955,600.0,0.0,600.0
359,G3086396454194210560,0.859843,600.0,0.0,600.0
360,G445846265650589952,0.859732,600.0,0.0,600.0
361,G3453094886409050240,0.85962,600.0,0.0,600.0
362,G248775986236536576,0.859508,600.0,0.0,600.0
363,G1966022688493284352,0.859396,600.0,0.0,600.0
364,G2025242320388060288,0.859284,600.0,0.0,600.0
365,G182732407266182912,0.859172,600.0,0.0,600.0
366,G2036319006661201152,0.85906,600.0,0.0,600.0
367,G3385762714172704384,0.858949,600.0,0.0,600.0
368,G3115354566813085184,0.858837,600.0,0.0,600.0
369,G3396696880572202112,0.858725,600.0,0.0,600.0
370,G3376612720144003712,0.858613,600.0,0.0,600.0
371,G1769982449616717312,0.858501,600.0,0.0,600.0
372,G190785028567285888,0.858389,600.0,0.0,600.0
373,G3317986828870134528,0.858277,600.0,0.0,600.0
374,G183705616792972544,0.858166,600.0,0.0,600.0
375,G3138784506764500480,0.858054,600.0,0.0,600.0
376,G3438123008373328768,0.857942,600.0,0.0,600.0
377,G183307112549488640,0.85783,600.0,0.0,600.0
378,G1891265522828566272,0.857718,600.0,0.0,600.0
379,G3316086735336371712,0.857606,600.0,0.0,600.0
380,G3125769621987723392,0.857494,600.0,0.0,600.0
381,G3368834603091499520,0.857383,600.0,0.0,600.0
382,G3085488360669414528,0.857271,600.0,0.0,600.0
383,G412324595658935296,0.857159,600.0,0.0,600.0
384,G250136288279144704,0.857047,600.0,0.0,600.0
385,G3431839608658235136,0.856935,600.0,0.0,600.0
386,G963542893150179840,0.856823,600.0,0.0,600.0
387,G661072643124254592,0.856711,600.0,0.0,600.0
388,G3390885033905554176,0.8566,600.0,0.0,600.0
389,G3365294794122700800,0.856488,600.0,0.0,600.0
390,G182629916466102784,0.856376,600.0,0.0,600.0
391,G3426260343062998016,0.856264,600.0,0.0,600.0
392,G3360846028341723904,0.856152,600.0,0.0,600.0
393,G230000141564434432,0.85604,600.0,0.0,600.0
394,G2162709689343847424,0.855928,600.0,0.0,600.0
395,G3340114122421040128,0.855817,600.0,0.0,600.0
396,G3371400137376012544,0.855705,600.0,0.0,600.0
397,G3426710112037010560,0.855593,600.0,0.0,600.0
398,G3329864062711964672,0.855481,600.0,0.0,600.0
